time;ue_id;ap_id;mcs_index;efficiency;bandwidth;rate
1.6871276950506846;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
1.6871276950506846;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
1.6871276950506846;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
1.6871276950506846;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
1.6887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
1.6887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
1.6887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
1.6887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
1.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
1.9887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
1.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
1.9887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
2.0704087590326576;ue_3;ap_0;14;3.6094;50000000.0;180470000.0
2.0704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
2.0704087590326576;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
2.0704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
2.073759566347378;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
2.073759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
2.073759566347378;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
2.073759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
2.1336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
2.1336518097719264;ue_4;ap_0;18;4.8164;50000000.0;240820000.0
2.1336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
2.1336518097719264;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
2.4887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
2.4887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
2.4887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
2.4887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
2.5704087590326576;ue_3;ap_0;14;3.6094;50000000.0;180470000.0
2.5704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
2.5704087590326576;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
2.5704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
2.573759566347378;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
2.573759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
2.573759566347378;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
2.573759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
2.6336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
2.6336518097719264;ue_4;ap_0;18;4.8164;50000000.0;240820000.0
2.6336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
2.6336518097719264;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
2.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
2.9887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
2.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
2.9887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
3.0704087590326576;ue_3;ap_0;14;3.6094;50000000.0;180470000.0
3.0704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
3.0704087590326576;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
3.0704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
