time;edc_id;overall_std_u;max_std_u;overall_power
0;edc_0;0;1800;0
0;edc_1;0;1800;0
1.0;edc_0;0;1800;1800
1.0;edc_1;0;1800;1800
1.2023718353877577;edc_1;20;1800;1850
1.211691485871557;edc_1;40;1800;1900
1.2667464261265966;edc_0;20;1800;1850
1.2722375658298974;edc_1;60;1800;1950
1.2812990525633787;edc_0;40;1800;1900
1.3310892184796115;edc_0;60;1800;1950
1.635929802488856;edc_1;80;1800;2000
1.6871276950506846;edc_1;100;1800;2050
1.6883642937858898;edc_0;80;1800;2000
1.6890304207268818;edc_1;120;1800;2100
11.402371835387758;edc_1;100;1800;2050
11.411691485871556;edc_1;80;1800;2000
11.466746426126596;edc_0;60;1800;1950
11.472237565829897;edc_1;60;1800;1950
11.481299052563378;edc_0;40;1800;1900
11.531089218479611;edc_0;20;1800;1850
11.835929802488856;edc_1;40;1800;1900
11.887127695050683;edc_1;20;1800;1850
11.888364293785889;edc_0;0;1800;1800
11.88903042072688;edc_1;0;1800;1800
12.702371835387757;edc_1;20;1800;1850
12.711691485871556;edc_1;40;1800;1900
12.766746426126595;edc_0;20;1800;1850
12.772237565829897;edc_1;60;1800;1950
12.781299052563378;edc_0;40;1800;1900
12.831089218479612;edc_0;60;1800;1950
13.135929802488855;edc_1;80;1800;2000
13.187127695050684;edc_1;100;1800;2050
13.188364293785888;edc_0;80;1800;2000
13.189030420726882;edc_1;120;1800;2100
22.902371835387758;edc_1;100;1800;2050
22.911691485871554;edc_1;80;1800;2000
22.966746426126594;edc_0;60;1800;1950
22.972237565829897;edc_1;60;1800;1950
22.981299052563376;edc_0;40;1800;1900
23.03108921847961;edc_0;20;1800;1850
23.335929802488852;edc_1;40;1800;1900
23.387127695050683;edc_1;20;1800;1850
23.388364293785887;edc_0;0;1800;1800
23.38903042072688;edc_1;0;1800;1800
24.202371835387755;edc_1;20;1800;1850
24.211691485871558;edc_1;40;1800;1900
24.266746426126595;edc_0;20;1800;1850
24.272237565829897;edc_1;60;1800;1950
24.28129905256338;edc_0;40;1800;1900
24.33108921847961;edc_0;60;1800;1950
24.635929802488857;edc_1;80;1800;2000
24.687127695050684;edc_1;100;1800;2050
24.688364293785888;edc_0;80;1800;2000
24.689030420726883;edc_1;120;1800;2100
