time;classic_power;classic_u;edc_id;lite_power;lite_u;shortcut_power;shortcut_u;u_shortcut_vs_classic;u_lite_vs_classic;u_lite_vs_shortcut;power_shortcut_vs_classic;power_lite_vs_classic;power_lite_vs_shortcut
0.0;0.0;0;edc_1;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0
1.0;176.557510375977;0;edc_1;176.557510375977;0;176.557510375977;0;0;0;0;0.0;0.0;0.0
1.2;185.543907165527;20;edc_1;185.543907165527;20;185.543907165527;20;0;0;0;0.0;0.0;0.0
1.4;193.471015930176;40;edc_1;193.471015930176;40;193.471015930176;40;0;0;0;0.0;0.0;0.0
1.5;193.471015930176;40;edc_1;281.749771118164;40;193.471015930176;40;0;0;0;0.0;88.278755187988;88.278755187988
1.5019937978502802;193.471015930176;40;edc_1;281.749771118164;40;281.749771118164;40;0;0;0;88.278755187988;88.278755187988;0.0
1.50202215583922;281.749771118164;40;edc_1;281.749771118164;40;281.749771118164;40;0;0;0;0.0;0.0;0.0
1.6;284.328437805176;60;edc_1;284.328437805176;60;284.328437805176;60;0;0;0;0.0;0.0;0.0
1.8;285.673316955566;80;edc_1;285.673316955566;80;285.673316955566;80;0;0;0;0.0;0.0;0.0
11.4;285.673316955566;80;edc_1;284.328437805176;60;284.328437805176;60;-20;-20;0;-1.3448791503899997;-1.3448791503899997;0.0
11.4000039823317;284.328437805176;60;edc_1;284.328437805176;60;284.328437805176;60;0;0;0;0.0;0.0;0.0
11.6;284.328437805176;60;edc_1;281.749771118164;40;281.749771118164;40;-20;-20;0;-2.578666687012003;-2.578666687012003;0.0
11.6000053548075;281.749771118164;40;edc_1;281.749771118164;40;281.749771118164;40;0;0;0;0.0;0.0;0.0
11.8;281.749771118164;40;edc_1;273.822662353516;20;273.822662353516;20;-20;-20;0;-7.927108764647983;-7.927108764647983;0.0
11.800736395940199;273.822662353516;20;edc_1;273.822662353516;20;273.822662353516;20;0;0;0;0.0;0.0;0.0
12.0;273.822662353516;20;edc_1;264.836265563965;0;264.836265563965;0;-20;-20;0;-8.986396789551009;-8.986396789551009;0.0
12.0007363959402;264.836265563965;0;edc_1;264.836265563965;0;264.836265563965;0;0;0;0;0.0;0.0;0.0
12.2;264.836265563965;0;edc_1;273.822662353516;20;264.836265563965;0;0;20;20;0.0;8.986396789551009;8.986396789551009
12.201993797850301;264.836265563965;0;edc_1;273.822662353516;20;273.822662353516;20;20;20;0;8.986396789551009;8.986396789551009;0.0
12.2020221558392;273.822662353516;20;edc_1;273.822662353516;20;273.822662353516;20;0;0;0;0.0;0.0;0.0
12.4;273.822662353516;20;edc_1;281.749771118164;40;273.822662353516;20;0;20;20;0.0;7.927108764647983;7.927108764647983
12.6;273.822662353516;20;edc_1;284.328437805176;60;273.822662353516;20;0;40;40;0.0;10.505775451659986;10.505775451659986
12.701994287072198;273.822662353516;20;edc_1;284.328437805176;60;281.749771118164;40;20;40;20;7.927108764647983;10.505775451659986;2.578666687012003
12.7020232476652;281.749771118164;40;edc_1;284.328437805176;60;281.749771118164;40;0;20;20;0.0;2.578666687012003;2.578666687012003
12.8;281.749771118164;40;edc_1;197.394561767578;80;193.471015930176;40;0;40;40;-88.278755187988;-84.355209350586;3.9235458374020027
12.8000057186007;193.471015930176;40;edc_1;197.394561767578;80;193.471015930176;40;0;40;40;0.0;3.9235458374020027;3.9235458374020027
12.901994287072199;193.471015930176;40;edc_1;197.394561767578;80;196.04968261718798;60;20;40;20;2.5786666870119745;3.9235458374020027;1.3448791503900281
12.9020232476652;196.04968261718798;60;edc_1;197.394561767578;80;196.04968261718798;60;0;20;20;0.0;1.3448791503900281;1.3448791503900281
13.101994287072198;196.04968261718798;60;edc_1;197.394561767578;80;197.394561767578;80;20;20;0;1.3448791503900281;1.3448791503900281;0.0
13.2020265911858;197.394561767578;80;edc_1;197.394561767578;80;197.394561767578;80;0;0;0;0.0;0.0;0.0
13.8;197.394561767578;80;edc_1;285.673316955566;80;285.673316955566;80;0;0;0;88.278755187988;88.278755187988;0.0
13.8000057186007;285.673316955566;80;edc_1;285.673316955566;80;285.673316955566;80;0;0;0;0.0;0.0;0.0
22.4;285.673316955566;80;edc_1;284.328437805176;60;285.673316955566;80;0;-20;-20;0.0;-1.3448791503899997;-1.3448791503899997
22.4019937978503;285.673316955566;80;edc_1;284.328437805176;60;284.328437805176;60;-20;-20;0;-1.3448791503899997;-1.3448791503899997;0.0
22.4020261381709;284.328437805176;60;edc_1;284.328437805176;60;284.328437805176;60;0;0;0;0.0;0.0;0.0
22.6;284.328437805176;60;edc_1;281.749771118164;40;284.328437805176;60;0;-20;-20;0.0;-2.578666687012003;-2.578666687012003
22.8;284.328437805176;60;edc_1;273.822662353516;20;284.328437805176;60;0;-40;-40;0.0;-10.505775451659986;-10.505775451659986
22.9019942870722;284.328437805176;60;edc_1;273.822662353516;20;281.749771118164;40;-20;-40;-20;-2.578666687012003;-10.505775451659986;-7.927108764647983
22.9020286024726;281.749771118164;40;edc_1;273.822662353516;20;281.749771118164;40;0;-20;-20;0.0;-7.927108764647983;-7.927108764647983
23.0;281.749771118164;40;edc_1;264.836265563965;0;281.749771118164;40;0;-40;-40;0.0;-16.91350555419899;-16.91350555419899
23.101994287072202;281.749771118164;40;edc_1;264.836265563965;0;273.822662353516;20;-20;-40;-20;-7.927108764647983;-16.91350555419899;-8.986396789551009
23.1020307776736;273.822662353516;20;edc_1;264.836265563965;0;273.822662353516;20;0;-20;-20;0.0;-8.986396789551009;-8.986396789551009
