time;classic_power;classic_u;edc_id;lite_power;lite_u;shortcut_power;shortcut_u;u_shortcut_vs_classic;u_lite_vs_classic;u_lite_vs_shortcut;power_shortcut_vs_classic;power_lite_vs_classic;power_lite_vs_shortcut
0.0;0.0;0;edc_0;0.0;0;0.0;0;0;0;0;0.0;0.0;0.0
1.0;176.557510375977;0;edc_0;176.557510375977;0;176.557510375977;0;0;0;0;0.0;0.0;0.0
1.2;194.530303955078;40;edc_0;194.530303955078;40;194.530303955078;40;0;0;0;0.0;0.0;0.0
1.4;210.384521484375;80;edc_0;210.384521484375;80;210.384521484375;80;0;0;0;0.0;0.0;0.0
1.5;210.384521484375;80;edc_0;563.499542236328;80;210.384521484375;80;0;0;0;0.0;353.115020751953;353.115020751953
1.50199069021496;210.384521484375;80;edc_0;563.499542236328;80;298.663276672363;80;0;0;0;88.278755187988;353.115020751953;264.836265563965
1.50199270699083;210.384521484375;80;edc_0;563.499542236328;80;386.942031860352;80;0;0;0;176.55751037597702;353.115020751953;176.557510375976
1.5019934335526601;210.384521484375;80;edc_0;563.499542236328;80;475.22078704834007;80;0;0;0;264.83626556396507;353.115020751953;88.27875518798794
1.50199464408422;210.384521484375;80;edc_0;563.499542236328;80;563.499542236328;80;0;0;0;353.115020751953;353.115020751953;0.0
1.5020060105791;298.663276672363;80;edc_0;563.499542236328;80;563.499542236328;80;0;0;0;264.836265563965;264.836265563965;0.0
1.5020101684276999;386.942031860352;80;edc_0;563.499542236328;80;563.499542236328;80;0;0;0;176.557510375976;176.557510375976;0.0
1.5020144087453402;475.22078704834007;80;edc_0;563.499542236328;80;563.499542236328;80;0;0;0;88.27875518798794;88.27875518798794;0.0
1.50201574565292;563.499542236328;80;edc_0;563.499542236328;80;563.499542236328;80;0;0;0;0.0;0.0;0.0
1.6;568.656875610352;120;edc_0;568.656875610352;120;568.656875610352;120;0;0;0;0.0;0.0;0.0
1.7;568.656875610352;120;edc_0;586.629669189453;160;568.656875610352;120;0;40;40;0.0;17.972793579100994;17.972793579100994
1.70199069021496;568.656875610352;120;edc_0;586.629669189453;160;577.643272399902;140;20;40;20;8.986396789549985;17.972793579100994;8.986396789551009
1.70199270699083;568.656875610352;120;edc_0;586.629669189453;160;586.629669189453;160;40;40;0;17.972793579100994;17.972793579100994;0.0
1.7020060105791;577.643272399902;140;edc_0;586.629669189453;160;586.629669189453;160;20;20;0;8.986396789551009;8.986396789551009;0.0
1.7020101684276998;586.629669189453;160;edc_0;586.629669189453;160;586.629669189453;160;0;0;0;0.0;0.0;0.0
1.8;589.319427490234;200;edc_0;589.319427490234;200;589.319427490234;200;0;0;0;0.0;0.0;0.0
1.9;589.319427490234;200;edc_0;605.173645019531;240;589.319427490234;200;0;40;40;0.0;15.854217529296989;15.854217529296989
1.90199069021496;589.319427490234;200;edc_0;605.173645019531;240;597.2465362548829;220;20;40;20;7.927108764648892;15.854217529296989;7.927108764648096
1.90199270699083;589.319427490234;200;edc_0;605.173645019531;240;605.173645019531;240;40;40;0;15.854217529296989;15.854217529296989;0.0
1.9020060105791;597.2465362548829;220;edc_0;605.173645019531;240;605.173645019531;240;20;20;0;7.927108764648096;7.927108764648096;0.0
1.9020101684276998;605.173645019531;240;edc_0;605.173645019531;240;605.173645019531;240;0;0;0;0.0;0.0;0.0
2.0;607.778915405273;280;edc_0;607.778915405273;280;607.778915405273;280;0;0;0;0.0;0.0;0.0
2.1;607.778915405273;280;edc_0;610.357582092285;300;607.778915405273;280;0;20;20;0.0;2.57866668701206;2.57866668701206
2.10199069021496;607.778915405273;280;edc_0;610.357582092285;300;610.357582092285;300;20;20;0;2.57866668701206;2.57866668701206;0.0
2.1020060105791;610.357582092285;300;edc_0;610.357582092285;300;610.357582092285;300;0;0;0;0.0;0.0;0.0
2.3;610.357582092285;300;edc_0;611.702461242676;320;610.357582092285;300;0;20;20;0.0;1.344879150390966;1.344879150390966
2.30199069021496;610.357582092285;300;edc_0;611.702461242676;320;611.702461242676;320;20;20;0;1.344879150390966;1.344879150390966;0.0
2.3020060105791;611.702461242676;320;edc_0;611.702461242676;320;611.702461242676;320;0;0;0;0.0;0.0;0.0
2.5;611.702461242676;320;edc_0;613.005096435547;340;611.702461242676;320;0;20;20;0.0;1.30263519287098;1.30263519287098
2.50199069021496;611.702461242676;320;edc_0;613.005096435547;340;613.005096435547;340;20;20;0;1.30263519287098;1.30263519287098;0.0
2.5020060105791;613.005096435547;340;edc_0;613.005096435547;340;613.005096435547;340;0;0;0;0.0;0.0;0.0
11.4;613.005096435547;340;edc_0;610.399826049805;300;610.399826049805;300;-40;-40;0;-2.60527038574196;-2.60527038574196;0.0
11.400005465890802;611.702461242676;320;edc_0;610.399826049805;300;610.399826049805;300;-20;-20;0;-1.30263519287098;-1.30263519287098;0.0
11.4000074948507;610.399826049805;300;edc_0;610.399826049805;300;610.399826049805;300;0;0;0;0.0;0.0;0.0
11.6;610.399826049805;300;edc_0;607.710067749023;260;607.710067749023;260;-40;-40;0;-2.689758300782046;-2.689758300782046;0.0
11.6000057102351;609.054946899414;280;edc_0;607.710067749023;260;607.710067749023;260;-20;-20;0;-1.344879150390966;-1.344879150390966;0.0
11.600008052082801;607.710067749023;260;edc_0;607.710067749023;260;607.710067749023;260;0;0;0;0.0;0.0;0.0
11.8;607.710067749023;260;edc_0;602.552734375;220;602.552734375;220;-40;-40;0;-5.157333374022983;-5.157333374022983;0.0
11.802086148789899;605.1314010620121;240;edc_0;602.552734375;220;602.552734375;220;-20;-20;0;-2.57866668701206;-2.57866668701206;0.0
11.803434113069;602.552734375;220;edc_0;602.552734375;220;602.552734375;220;0;0;0;0.0;0.0;0.0
11.9;602.552734375;220;edc_0;593.32299041748;180;602.552734375;220;0;-40;-40;0.0;-9.229743957519986;-9.229743957519986
11.901990690215001;602.552734375;220;edc_0;593.32299041748;180;601.250099182129;200;-20;-40;-20;-1.30263519287098;-9.229743957519986;-7.927108764649006
11.9019927069908;602.552734375;220;edc_0;593.32299041748;180;593.32299041748;180;-40;-40;0;-9.229743957519986;-9.229743957519986;0.0
11.9020135414877;601.250099182129;200;edc_0;593.32299041748;180;593.32299041748;180;-20;-20;0;-7.927108764649006;-7.927108764649006;0.0
11.9020149648154;593.32299041748;180;edc_0;593.32299041748;180;593.32299041748;180;0;0;0;0.0;0.0;0.0
12.0;593.32299041748;180;edc_0;577.4687728881839;140;577.4687728881839;140;-40;-40;0;-15.85421752929608;-15.85421752929608;0.0
12.0020861487899;585.395881652832;160;edc_0;577.4687728881839;140;577.4687728881839;140;-20;-20;0;-7.927108764648096;-7.927108764648096;0.0
12.003434113069;577.4687728881839;140;edc_0;577.4687728881839;140;577.4687728881839;140;0;0;0;0.0;0.0;0.0
12.1;577.4687728881839;140;edc_0;569.785011291504;140;577.4687728881839;140;0;0;0;0.0;-7.683761596679915;-7.683761596679915
12.101990690215;577.4687728881839;140;edc_0;569.785011291504;140;576.123893737793;120;-20;0;20;-1.344879150390966;-7.683761596679915;-6.338882446288949
12.1019927069908;577.4687728881839;140;edc_0;569.785011291504;140;567.1374969482421;100;-40;0;40;-10.331275939941861;-7.683761596679915;2.647514343261946
12.102013989280099;576.123893737793;120;edc_0;569.785011291504;140;567.1374969482421;100;-20;20;40;-8.986396789550895;-6.338882446288949;2.647514343261946
12.102015275253901;567.1374969482421;100;edc_0;569.785011291504;140;567.1374969482421;100;0;40;40;0.0;2.647514343261946;2.647514343261946
12.2;567.1374969482421;100;edc_0;568.725723266602;140;549.164703369141;60;-40;40;80;-17.972793579101108;1.5882263183599434;19.56101989746105
12.3;567.1374969482421;100;edc_0;567.42308807373;120;549.164703369141;60;-40;20;60;-17.972793579101108;0.2855911254879402;18.258384704589048
12.3014103487074;558.1511001586911;80;edc_0;567.42308807373;120;549.164703369141;60;-20;40;60;-8.9863967895501;9.271987915038949;18.258384704589048
12.301990690215002;558.1511001586911;80;edc_0;567.42308807373;120;550.509582519531;80;0;40;40;-7.641517639160043;9.271987915038949;16.91350555419899
12.3020139892801;559.495979309082;100;edc_0;567.42308807373;120;550.509582519531;80;-20;20;40;-8.986396789551009;7.927108764647983;16.91350555419899
12.302757191259301;550.509582519531;80;edc_0;567.42308807373;120;550.509582519531;80;0;40;40;0.0;16.91350555419899;16.91350555419899
12.4;550.509582519531;80;edc_0;559.495979309082;100;550.509582519531;80;0;20;20;0.0;8.986396789551009;8.986396789551009
