cab_id,epoch,x,y,latitude,longitude
iafstnue,1212802227.0,791.8446455884127,844.9149351208544,37.7882,-122.41098999999998
iafstnue,1212802237.375,799.3231783424277,845.6106819382305,37.78820625,-122.410905
iafstnue,1212802247.75,806.8017111007549,846.3064287548992,37.7882125,-122.41082
iafstnue,1212802258.125,814.2802438589156,847.0021755729837,37.78821875,-122.410735
iafstnue,1212802268.5,821.7587766146693,847.6979223896521,37.788225,-122.41065
iafstnue,1212802278.875,829.2373093747307,848.3936692084447,37.78823125,-122.41056499999999
iafstnue,1212802289.25,836.7158421301436,849.0894160251131,37.7882375,-122.41048
iafstnue,1212802299.625,844.1943748876223,849.7851628424895,37.78824375,-122.410395
iafstnue,1212802310.0,851.6729076449267,850.4809096598659,37.78825,-122.41031
iafstnue,1212802313.875,852.6627134520809,848.5328185710703,37.7882325,-122.41029875
iafstnue,1212802317.75,853.6525192569931,846.5847274822745,37.788215,-122.4102875
iafstnue,1212802321.625,854.6423250641412,844.6366363934787,37.7881975,-122.41027625
iafstnue,1212802325.5,855.6321308690475,842.688545304683,37.78818,-122.410265
iafstnue,1212802329.375,856.6219366761892,840.740454215179,37.7881625,-122.41025375
iafstnue,1212802333.25,857.6117424788506,838.7923631270913,37.788145,-122.41024250000001
iafstnue,1212802337.125,858.6015482882248,836.8442720382956,37.7881275,-122.41023125
iafstnue,1212802341.0,859.5913540931188,834.8961809494998,37.78811,-122.41022
iafstnue,1212802358.375,873.998527490779,844.3583376668114,37.788195,-122.41005625
iafstnue,1212802375.75,888.405700890008,853.8204943834148,37.78828,-122.4098925
iafstnue,1212802393.125,902.8128742863175,863.2826511014345,37.788365,-122.40972875
iafstnue,1212802410.5,917.2200476841737,872.7448078201624,37.78845000000001,-122.40956499999999
iafstnue,1212802427.875,931.6272210790885,882.2069645374737,37.78853500000001,-122.40940125
iafstnue,1212802445.25,946.0343944732889,891.6691212547853,37.78862000000001,-122.4092375
iafstnue,1212802462.625,960.4415678667644,901.1312779720968,37.78870500000001,-122.40907375
iafstnue,1212802480.0,974.848741259504,910.5934346901166,37.78879000000001,-122.40891
iafstnue,1212802489.625,972.7591512255226,922.421130586933,37.788896250000015,-122.40893375
iafstnue,1212802499.25,970.6695611915259,934.2488264830414,37.78900250000001,-122.4089575
iafstnue,1212802508.875,968.579971159752,946.0765223798578,37.78910875000001,-122.40898125
iafstnue,1212802518.5,966.4903811234851,957.9042182766741,37.78921500000001,-122.409005
iafstnue,1212802528.125,964.4007910894414,969.7319141741987,37.789321250000015,-122.40902875
iafstnue,1212802537.75,962.311201055382,981.5596100710151,37.789427500000016,-122.40905249999999
iafstnue,1212802547.375,960.2216110213072,993.3873059671234,37.78953375000001,-122.40907625
iafstnue,1212802557.0,958.1320209872171,1005.21500186394,37.78964000000001,-122.4091
iafstnue,1212802564.875,1000.0338000909943,1018.0167433055083,37.789755000000014,-122.40862375
iafstnue,1212802572.75,1041.9355791882879,1030.8184847463685,37.78987000000001,-122.40814750000001
iafstnue,1212802580.625,1083.8373582788272,1043.6202261872288,37.78998500000001,-122.40767125
iafstnue,1212802588.5,1125.7391373645785,1056.4219676287973,37.79010000000001,-122.407195
iafstnue,1212802596.375,1167.640916440793,1069.2237090689493,37.790215,-122.40671875
iafstnue,1212802604.25,1209.5426955116764,1082.0254505098096,37.79033,-122.4062425
iafstnue,1212802612.125,1251.4444745724797,1094.8271919513782,37.790445,-122.40576625
iafstnue,1212802620.0,1293.3462536251695,1107.6289333922382,37.79056,-122.40529
iafstnue,1212802625.875,1325.5699314755527,1105.4025435767753,37.79054,-122.40492375
iafstnue,1212802631.75,1357.793609318615,1103.176153760604,37.79052,-122.4045575
iafstnue,1212802637.625,1390.0172871564707,1100.9497639451408,37.7905,-122.40419125
iafstnue,1212802643.5,1422.2409649889978,1098.7233741296777,37.79048,-122.403825
iafstnue,1212802649.375,1454.4646428183105,1096.4969843135066,37.79046,-122.40345875
iafstnue,1212802655.25,1486.6883206398077,1094.2705944980435,37.790440000000004,-122.4030925
iafstnue,1212802661.125,1518.9119984556046,1092.0442046818723,37.790420000000005,-122.40272625
iafstnue,1212802667.0,1551.1356762655785,1089.8178148657012,37.7904,-122.40236000000002
iafstnue,1212802675.25,1541.1276398154519,1084.808437780024,37.790355,-122.40247375
iafstnue,1212802683.5,1531.1196033625174,1079.7990606950548,37.79031000000001,-122.4025875
iafstnue,1212802691.75,1521.1115669067779,1074.7896836100856,37.79026500000001,-122.40270125
iafstnue,1212802700.0,1511.103530454953,1069.7803065244084,37.79022000000001,-122.40281499999999
iafstnue,1212802708.25,1501.095493998092,1064.7709294387312,37.79017500000001,-122.40292875
iafstnue,1212802716.5,1491.087457542914,1059.761552352346,37.79013000000001,-122.4030425
iafstnue,1212802724.75,1481.079421087185,1054.7521752666687,37.79008500000001,-122.40315625
iafstnue,1212802733.0,1471.0713846309084,1049.7427981817,37.79004000000001,-122.40327
ovkojy,1212802248.0,141.65220887279241,529.8807761751108,37.78537,-122.41838
ovkojy,1212802307.125,146.71121633120399,523.2016067273053,37.785309999999996,-122.41832250000002
ovkojy,1212802366.25,151.77022379184038,516.522437281624,37.78525000000001,-122.418265
ovkojy,1212802425.375,156.82923125246245,509.84326783240215,37.78519,-122.4182075
ovkojy,1212802484.5,161.88823871306965,503.16409838530467,37.78513,-122.41815
ovkojy,1212802543.625,166.9472461714229,496.4849289389153,37.78507000000001,-122.4180925
ovkojy,1212802602.75,172.0062536297604,489.80575948969346,37.78501,-122.418035
