hour;demand
1212735600.0;95.69761111111112
1212739200.0;76.48519444444445
1212742800.0;55.12906944444444
1212746400.0;42.646875
1212750000.0;42.630375
1212753600.0;52.22390277777778
1212757200.0;80.81538888888889
1212760800.0;110.14869444444443
1212764400.0;141.8359166666667
1212768000.0;147.6681111111111
1212771600.0;134.79736111111112
1212775200.0;138.38518055555556
1212778800.0;146.4058611111111
1212782400.0;150.39956944444447
1212786000.0;132.91795833333336
1212789600.0;114.95006944444444
1212793200.0;106.22343055555557
1212796800.0;129.9509861111111
1212800400.0;153.28488888888882
1212804000.0;154.47954166666665
1212807600.0;151.67034722222223
1212811200.0;139.53691666666668
1212814800.0;137.09190277777776
1212818400.0;124.70604166666666
1212822000.0;124.70604166666666
