hour;demand
1212735600.0;108.77180555555555
1212739200.0;88.5588888888889
1212742800.0;63.20347222222223
1212746400.0;47.959166666666675
1212750000.0;51.999166666666675
1212753600.0;59.38875
1212757200.0;94.87083333333334
1212760800.0;118.69180555555556
1212764400.0;167.66833333333335
1212768000.0;178.93263888888887
1212771600.0;155.5438888888889
1212775200.0;150.3076388888889
1212778800.0;157.21152777777777
1212782400.0;165.6615277777778
1212786000.0;145.2168055555556
1212789600.0;115.89388888888888
1212793200.0;99.63374999999999
1212796800.0;129.08555555555557
1212800400.0;158.57888888888888
1212804000.0;162.21083333333334
1212807600.0;149.30291666666665
1212811200.0;151.70347222222227
1212814800.0;155.1965277777778
1212818400.0;140.02249999999998
1212822000.0;140.02249999999998
