cab_id;t_start;t_end
eoivqued_2;1212791360;1212792416
eoivqued_3;1212800679;1212801275
eoivqued_4;1212801427;1212801673
eoivqued_5;1212803405;1212803646
eoivqued_6;1212811983;1212812728
eoivqued_7;1212818814;1212819346
aldhidd_0;1212735767;1212736002
aldhidd_1;1212739343;1212739647
aldhidd_2;1212740798;1212741152
aldhidd_3;1212744327;1212744683
aldhidd_4;1212745551;1212746139
aldhidd_5;1212746629;1212747533
aldhidd_6;1212748936;1212749740
aldhidd_7;1212757794;1212758493
aldhidd_8;1212760312;1212761547
aldhidd_9;1212764632;1212765753
aldhidd_10;1212765808;1212766526
aldhidd_11;1212766850;1212768012
aldhidd_12;1212768815;1212769989
aldhidd_13;1212770049;1212770235
aldhidd_14;1212775941;1212776482
aldhidd_15;1212777388;1212777647
aldhidd_16;1212785678;1212787253
aldhidd_17;1212788369;1212788548
ajthof_0;1212737746;1212738160
ajthof_1;1212738371;1212738590
ajthof_2;1212738710;1212738888
ajthof_3;1212741048;1212741141
ajthof_4;1212757209;1212757398
ajthof_5;1212759244;1212760042
ajthof_6;1212760362;1212760757
ajthof_7;1212760825;1212761072
ajthof_8;1212765081;1212765647
ajthof_9;1212766175;1212767327
ajthof_10;1212773775;1212774205
ajthof_11;1212776522;1212777998
ajthof_12;1212778042;1212779297
ajthof_13;1212780026;1212780460
ajthof_14;1212781691;1212782179
ajthof_15;1212782224;1212782558
ajthof_16;1212782686;1212783529
ajthof_17;1212784695;1212786677
ajthof_18;1212789022;1212789564
ajthof_19;1212791839;1212793023
ajthof_20;1212808710;1212810982
ajthof_21;1212811801;1212812228
ajthof_22;1212817149;1212817213
ajthof_23;1212818735;1212820456
ajthof_24;1212821071;1212822000
iorjtwav_0;1212750828;1212750889
iorjtwav_1;1212751009;1212751130
iorjtwav_2;1212751226;1212751589
iorjtwav_3;1212764081;1212764710
iorjtwav_4;1212765492;1212766480
iorjtwav_5;1212775320;1212776761
iorjtwav_6;1212780172;1212780742
iorjtwav_7;1212791494;1212792812
iorjtwav_8;1212792955;1212793462
iorjtwav_9;1212794263;1212796053
iorjtwav_10;1212796427;1212798205
iorjtwav_11;1212799670;1212800581
iorjtwav_12;1212801367;1212802374
iorjtwav_13;1212802678;1212805816
iorjtwav_14;1212806419;1212807754
iorjtwav_15;1212809288;1212813525
iorjtwav_16;1212813866;1212814894
iorjtwav_17;1212814954;1212816363
iorjtwav_18;1212819681;1212820057
ikujfurk_0;1212737449;1212738507
ikujfurk_1;1212739681;1212739722
ikujfurk_2;1212740526;1212740587
ikujfurk_3;1212742967;1212743026
ikujfurk_4;1212743100;1212744022
ikujfurk_5;1212758950;1212759808
ikujfurk_6;1212760908;1212761968
ikujfurk_7;1212762201;1212762805
ikujfurk_8;1212764204;1212764946
ikujfurk_9;1212765248;1212765769
ikujfurk_10;1212766123;1212766915
ikujfurk_11;1212768331;1212769641
ikujfurk_12;1212771117;1212771560
ikujfurk_13;1212773094;1212773591
ikujfurk_14;1212774969;1212776069
ikujfurk_15;1212781005;1212781758
ikujfurk_16;1212784370;1212785200
ikujfurk_17;1212785803;1212785890
ikujfurk_18;1212790297;1212792621
ikujfurk_19;1212812607;1212813822
ikujfurk_20;1212814152;1212815229
ikujfurk_21;1212815756;1212816987
ikujfurk_22;1212818003;1212818532
ikujfurk_23;1212820056;1212820236
ikujfurk_24;1212820590;1212822000
upthin_0;1212735767;1212735893
upthin_1;1212763065;1212763098
upthin_2;1212763125;1212763159
upthin_3;1212763191;1212763201
upthin_4;1212763220;1212763269
upthin_5;1212763291;1212763334
upthin_6;1212763341;1212763389
upthin_7;1212763423;1212763449
upthin_8;1212763482;1212763542
upthin_9;1212764371;1212764393
upthin_10;1212764431;1212764454
upthin_11;1212764494;1212764509
upthin_12;1212764553;1212764625
upthin_13;1212764684;1212764723
upthin_14;1212764740;1212764784
upthin_15;1212764800;1212764841
upthin_16;1212764849;1212764904
upthin_17;1212766491;1212767119
upthin_18;1212767173;1212767179
upthin_19;1212767233;1212767494
upthin_20;1212767540;1212767566
upthin_21;1212767601;1212767628
upthin_22;1212767633;1212767711
upthin_23;1212767761;1212767846
upthin_24;1212767875;1212767895
upthin_25;1212767935;1212767960
upthin_26;1212767963;1212767983
upthin_27;1212768204;1212768216
upthin_28;1212768559;1212768615
upthin_29;1212768629;1212768680
upthin_30;1212768691;1212768729
upthin_31;1212768740;1212768789
upthin_32;1212768800;1212768849
upthin_33;1212768854;1212768919
upthin_34;1212768968;1212768970
upthin_35;1212769024;1212769038
upthin_36;1212769084;1212769090
upthin_37;1212769149;1212769150
upthin_38;1212769206;1212770188
upthin_39;1212770229;1212770979
upthin_40;1212770999;1212771033
upthin_41;1212771063;1212771089
upthin_42;1212771119;1212771216
upthin_43;1212771251;1212771264
upthin_44;1212771301;1212771325
upthin_45;1212771326;1212771455
upthin_46;1212771531;1212771575
upthin_47;1212771593;1212771626
upthin_48;1212771683;1212771983
upthin_49;1212772004;1212772044
upthin_50;1212772066;1212772107
upthin_51;1212772138;1212772165
upthin_52;1212772188;1212772230
upthin_53;1212772305;1212772345
upthin_54;1212772366;1212772372
upthin_55;1212772426;1212772432
upthin_56;1212772486;1212772492
upthin_57;1212772546;1212772557
upthin_58;1212772611;1212772612
upthin_59;1212772672;1212772677
upthin_60;1212772726;1212772739
upthin_61;1212772744;1212772770
upthin_62;1212772796;1212772831
upthin_63;1212772867;1212772890
upthin_64;1212772912;1212772950
upthin_65;1212772989;1212773010
upthin_66;1212773062;1212773070
upthin_67;1212773088;1212773149
upthin_68;1212773192;1212773208
upthin_69;1212773252;1212773268
upthin_70;1212773312;1212773764
upthin_71;1212773771;1212773809
upthin_72;1212773832;1212773929
upthin_73;1212773952;1212773984
upthin_74;1212774104;1212774883
upthin_75;1212774900;1212774943
upthin_76;1212774969;1212775003
upthin_77;1212775020;1212775142
upthin_78;1212779979;1212779985
upthin_79;1212780039;1212780045
upthin_80;1212780099;1212780106
upthin_81;1212780159;1212780172
upthin_82;1212780238;1212780304
upthin_83;1212780310;1212780349
upthin_84;1212780377;1212780407
upthin_85;1212780438;1212780467
upthin_86;1212780498;1212780534
upthin_87;1212780646;1212780650
upthin_88;1212780707;1212780718
upthin_89;1212780767;1212780780
upthin_90;1212780833;1212780843
upthin_91;1212780887;1212781001
upthin_92;1212781011;1212781022
upthin_93;1212781068;1212781084
upthin_94;1212781134;1212781149
