hour,demand
0.0,43.35333333333334
3600.0,33.41652777777777
7200.0,23.817638888888887
10800.0,14.932083333333336
14400.0,19.257777777777772
18000.0,21.39861111111111
21600.0,40.32388888888889
25200.0,47.65222222222222
28800.0,60.12791666666667
32400.0,65.75958333333332
36000.0,55.47486111111111
39600.0,54.278888888888886
43200.0,52.583194444444445
46800.0,57.99166666666667
50400.0,48.179027777777776
54000.0,40.187777777777775
57600.0,38.91708333333333
61200.0,48.715555555555554
64800.0,55.89638888888889
68400.0,58.092638888888885
72000.0,56.90583333333333
75600.0,61.34361111111112
79200.0,64.70722222222221
82800.0,61.31444444444445
86400.0,61.31444444444445
