hour,demand
0.0,39.849694444444445
3600.0,31.281944444444445
7200.0,22.44506944444444
10800.0,15.970041666666669
14400.0,15.286166666666668
18000.0,19.182291666666664
21600.0,32.21241666666667
25200.0,43.882930555555554
28800.0,52.91593055555556
32400.0,54.57497222222222
36000.0,49.34552777777778
39600.0,48.819944444444445
43200.0,49.95559722222222
46800.0,52.926138888888886
50400.0,46.17384722222222
54000.0,40.50723611111111
57600.0,36.82244444444445
61200.0,44.31
64800.0,53.94929166666668
68400.0,55.82048611111111
72000.0,56.67225
75600.0,54.74477777777779
79200.0,55.77809722222222
82800.0,52.48702777777778
86400.0,52.48702777777778
