time,power
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.1729
21600,40.9864
25200,118.7641
28800,297.4153
32400,468.7956
36000,604.9953
39600,698.0792
43200,741.7501000000001
46800,732.9413
50400,674.9015
54000,566.5751
57600,413.7588
61200,231.413
64800,67.7677
68400,9.2638
72000,0.0
75600,0.0
79200,0.0
82800,0.0
86400,0.0
