time,power
0,0.0
3600,0.0
7200,0.0
10800,0.0
14400,0.0
18000,0.18200000000000002
21600,41.1957
25200,134.2159
28800,314.9692
32400,483.71959999999996
36000,616.2702
39600,705.2318
43200,744.5074
46800,731.2760000000001
50400,669.0047
54000,556.9473
57600,401.3282
61200,218.09969999999998
64800,60.469500000000004
68400,9.3275
72000,0.0
75600,0.0
79200,0.0
82800,0.0
86400,0.0
