time;ap_id;ue_id;mcs_index;efficiency;bandwidth;rate
1.0023718353877578;ap_9;ue_7;0;0.2344;100000000.0;23440000.0
1.0023718353877578;ap_9;ue_7;28;5.5547;100000000.0;555470000.0
1.011691485871557;ap_6;ue_8;0;0.2344;100000000.0;23440000.0
1.011691485871557;ap_6;ue_8;28;5.5547;100000000.0;555470000.0
1.0667464261265966;ap_0;ue_3;0;0.2344;100000000.0;23440000.0
1.0667464261265966;ap_0;ue_3;28;5.5547;100000000.0;555470000.0
1.0722375658298975;ap_5;ue_0;0;0.2344;100000000.0;23440000.0
1.0722375658298975;ap_5;ue_0;28;5.5547;100000000.0;555470000.0
1.0812990525633788;ap_4;ue_1;0;0.2344;100000000.0;23440000.0
1.0812990525633788;ap_4;ue_1;28;5.5547;100000000.0;555470000.0
1.1310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_4;0;0.2344;50000000.0;11720000.0
1.1310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.1310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.2667464261265966;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.2667464261265966;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.2667464261265966;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.2667464261265966;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.2704087590326578;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.2704087590326578;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.2704087590326578;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.2704087590326578;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.274071091938719;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.274071091938719;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.274071091938719;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.274071091938719;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.3310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.3310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.3310892184796115;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.3310892184796115;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.3336518097719263;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.3336518097719263;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.3336518097719263;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.3336518097719263;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.435929802488856;ap_7;ue_2;0;0.2344;100000000.0;23440000.0
1.435929802488856;ap_7;ue_2;28;5.5547;100000000.0;555470000.0
1.4871276950506847;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_9;0;0.2344;50000000.0;11720000.0
1.4871276950506847;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_9;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_9;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_9;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_9;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.4871276950506847;ap_5;ue_9;28;5.5547;50000000.0;277735000.0
1.4883642937858899;ap_1;ue_5;0;0.2344;100000000.0;23440000.0
1.4883642937858899;ap_1;ue_5;28;5.5547;100000000.0;555470000.0
1.4890304207268819;ap_8;ue_6;0;0.2344;100000000.0;23440000.0
1.4890304207268819;ap_8;ue_6;28;5.5547;100000000.0;555470000.0
1.5704087590326579;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.5704087590326579;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.5704087590326579;ap_0;ue_3;28;5.5547;50000000.0;277735000.0
1.5704087590326579;ap_0;ue_4;28;5.5547;50000000.0;277735000.0
1.5737595663473776;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
1.5737595663473776;ap_5;ue_9;28;5.5547;50000000.0;277735000.0
1.5737595663473776;ap_5;ue_0;28;5.5547;50000000.0;277735000.0
